,operation,property_type,place_with_parent_names,lat-lon,price,currency
1,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",180000,USD
2,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,250000,USD
3,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6497002,-58.658073",410000,USD
4,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5957086,-58.5669503",180000,USD
5,sell,apartment,|Argentina|Capital Federal|Chacarita|,"-34.5846508988,-58.4546932614",129000,USD
6,sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6177676,-58.5663939",120000,USD
7,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6558611,-58.6167212",55000,USD
8,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6552091,-58.69732",130000,USD
9,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,200000,USD
10,sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6389789,-58.500115",87000,USD
11,sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,120000,USD
12,sell,apartment,|Argentina|Capital Federal|Once|,"-34.6050060697,-58.4001162302",60000,USD
13,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6521726,-58.5778671",230000,USD
14,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.447931,-58.5525002",190000,USD
,operation,property_type,place_with_parent_names,lat-lon,price,currency
15,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",108615.3846,USD
16,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,100802.1978,USD
,operation,property_type,place_with_parent_names,lat-lon,price,currency
17.47565923,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",108615.3846,USD
18.43306288,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,100802.1978,USD
19.39046653,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6497002,-58.658074",92989.01099,USD
20.34787018,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5957086,-58.5669504",85175.82418,USD
,operation,property_type,place_with_parent_names,lat-lon,price,currency
21.5426543,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",108615.3846,USD
22.45601275,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,100802.1978,USD
23.3693712,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6497002,-58.658074",92989.01099,USD
24.28272964,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5957086,-58.5669504",85175.82418,USD
25.19608809,sell,apartment,|Argentina|Capital Federal|Chacarita|,"-34.5846508988,-58.4546932614",77362.63736,USD
26.10944654,sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6177676,-58.5663940",69549.45055,USD
27.02280498,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6558611,-58.6167213",61736.26374,USD
,operation,property_type,place_with_parent_names,lat-lon,price,currency
28.06208402,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",108615.3846,USD
28.94070575,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,100802.1978,USD
29.81932748,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6497002,-58.658074",92989.01099,USD
30.69794922,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5957086,-58.5669504",85175.82418,USD
31.57657095,sell,apartment,|Argentina|Capital Federal|Chacarita|,"-34.5846508988,-58.4546932614",77362.63736,USD
